,event_id,case_type,time,centroid_lat,centroid_lon,speed_kmh,direction_deg,major_axis_km,minor_axis_km,orientation_deg,age,cell_volume,cell_top,projected_area,mean_area,max_dbz,height_max_dbz,VIL,storm_intensity,hail_mass,hail_mass_aloft,reflectivity_threshold,hail_probability_pct
186,122,forecast,2025-11-24 00:32:00,-27.3214,155.3859,47.7622,53.4203,0.717629,0.443558,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
187,122,forecast,2025-11-24 00:37:00,-27.3,155.4182,47.7622,53.4203,0.717629,0.443558,157.134,1500.0,30.375,4.375,15.1875,13.5,38.616,4.0,1.20924,0.0,0.0,0.0,35.0,0.0
188,102,history,2025-11-23 23:47:00,-27.9281,154.6804,34.5233,37.5192,5.10339,1.5788,13.8937,5112.0,75.0938,7.375,25.3125,16.6875,43.086,4.75,3.46131,0.0,0.0,0.0,35.0,0.0
189,102,history,2025-11-23 23:52:00,-27.8829,154.712,46.0324,41.5111,8.83464,2.26987,11.7703,5112.0,207.141,7.375,63.0,34.5234,48.084,3.25,7.21117,2.0,0.158326,0.0,35.0,0.0
190,102,history,2025-11-23 23:57:00,-27.8783,154.7342,32.9344,46.1256,7.84386,2.71638,7.19943,5112.0,262.828,7.375,66.9375,43.8047,48.932,4.75,10.0329,2.0,0.247605,0.0,35.0,0.0
191,102,history,2025-11-24 00:02:00,-27.8437,154.7697,46.6544,48.5457,9.70807,3.04315,4.4788,5112.0,373.359,8.875,92.8125,49.7812,52.66,2.5,16.3801,2.0,0.496924,0.11858,35.0,40.0
192,102,current,2025-11-24 00:07:00,-27.8115,154.808,42.3034,52.3919,12.6387,3.49918,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
193,102,forecast,2025-11-24 00:12:00,-27.7921,154.8364,42.3034,52.3919,13.6098,3.76801,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
194,102,forecast,2025-11-24 00:17:00,-27.7728,154.8648,42.3034,52.3919,14.516,4.01891,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
195,102,forecast,2025-11-24 00:22:00,-27.7534,154.8931,42.3034,52.3919,15.3688,4.25503,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
196,102,forecast,2025-11-24 00:27:00,-27.734,154.9215,42.3034,52.3919,16.1768,4.47872,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
197,102,forecast,2025-11-24 00:32:00,-27.7147,154.9498,42.3034,52.3919,16.9463,4.69177,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
198,102,forecast,2025-11-24 00:37:00,-27.6953,154.9782,42.3034,52.3919,17.6823,4.89554,6.43314,5112.0,606.234,8.875,138.938,80.8313,52.884,1.75,18.8472,2.0,0.580898,0.310848,35.0,50.0
199,105,history,2025-11-23 23:52:00,-27.7586,155.1482,44.9296,37.6552,4.43861,1.81526,8.1259,4519.0,75.9375,5.875,25.3125,20.25,46.324,3.25,4.87139,2.0,0.122508,0.0,35.0,0.0
200,120,current,2025-11-24 00:07:00,-27.6855,155.2452,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
201,120,forecast,2025-11-24 00:12:00,-27.6696,155.2713,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
202,120,forecast,2025-11-24 00:17:00,-27.6538,155.2975,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
203,120,forecast,2025-11-24 00:22:00,-27.6379,155.3236,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
204,120,forecast,2025-11-24 00:27:00,-27.622,155.3498,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
205,120,forecast,2025-11-24 00:32:00,-27.6062,155.3759,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
206,120,forecast,2025-11-24 00:37:00,-27.5903,155.402,37.4596,55.6043,5.70998,1.72465,14.5309,3654.0,77.2031,5.125,30.9375,25.7344,41.052,2.5,2.1314,0.0,0.0,0.0,35.0,0.0
